y,x
64902,-50
61129.5,-49
57506,-48
54028.5,-47
50694,-46
47499.5,-45
44442,-44
41518.5,-43
38726,-42
36061.5,-41
33522,-40
31104.5,-39
28806,-38
26623.5,-37
24554,-36
22594.5,-35
20742,-34
18993.5,-33
17346,-32
15796.5,-31
14342,-30
12979.5,-29
11706,-28
10518.5,-27
9414,-26
8389.5,-25
7442,-24
6568.5,-23
5766,-22
5031.5,-21
4362,-20
3754.5,-19
3206,-18
2713.5,-17
2274,-16
1884.5,-15
1542,-14
1243.5,-13
986,-12
766.5,-11
582,-10
429.5,-9
306,-8
208.5,-7
134,-6
79.5,-5
42,-4
18.5,-3
6,-2
1.5,-1
2,0
4.5,1
6,2
3.5,3
-6,4
-25.5,5
-58,6
-106.5,7
-174,8
-263.5,9
-378,10
-520.5,11
-694,12
-901.5,13
-1146,14
-1430.5,15
-1758,16
-2131.5,17
-2554,18
-3028.5,19
-3558,20
-4145.5,21
-4794,22
-5506.5,23
-6286,24
-7135.5,25
-8058,26
-9056.5,27
-10134,28
-11293.5,29
-12538,30
-13870.5,31
-15294,32
-16811.5,33
-18426,34
-20140.5,35
-21958,36
-23881.5,37
-25914,38
-28058.5,39
-30318,40
-32695.5,41
-35194,42
-37816.5,43
-40566,44
-43445.5,45
-46458,46
-49606.5,47
-52894,48
-56323.5,49
-59898,50
-63620.5,51
-67494,52
-71521.5,53
-75706,54
-80050.5,55
-84558,56
-89231.5,57
-94074,58
-99088.5,59
-104278,60
